prop_name,monthly_rent,location,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region
Prisma Cheras,1500.0,Kuala Lumpur - Cheras,2.0,1.0,1.0,717,Fully Furnished,"Tennis Court, Sauna, Gymnasium, Squash Court, Barbeque area, Playground, Security, Parking, Swimming Pool, Lift, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur
Seasons Garden Residences @ Wangsa Maju,1350.0,Kuala Lumpur - Wangsa Maju,3.0,1.0,2.0,850,Partially Furnished,None,None,Kuala Lumpur
Maxim Citilights,1300.0,Kuala Lumpur - Sentul,3.0,1.0,2.0,1150,Not Furnished,"Security, Minimart, Playground, Swimming Pool, Multipurpose hall, Jogging Track, Lift, Parking",Near KTM/LRT,Kuala Lumpur
Banyan Tree,7000.0,Kuala Lumpur - KLCC,2.0,1.0,2.0,1076,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area","Air-Cond, Near KTM/LRT, Washing Machine, Cooking Allowed",Kuala Lumpur
PPA1M Bukit Jalil,1300.0,Kuala Lumpur - Bukit Jalil,3.0,1.0,2.0,1000,Not Furnished,"Parking, Security, Lift, Playground, Minimart, Multipurpose hall",None,Kuala Lumpur
Taman Connaught,900.0,Kuala Lumpur - Cheras,2.0,1.0,1.0,550,Partially Furnished,"Parking, Security, Lift, Playground, Jogging Track","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Midah Ria,1300.0,Kuala Lumpur - Cheras,3.0,1.0,2.0,967,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Sri Kenangan,2500.0,Kuala Lumpur - Wangsa Maju,4.0,1.0,2.0,1184,Partially Furnished,"Minimart, Barbeque area, Swimming Pool, Parking, Security, Playground",None,Kuala Lumpur
Faber Ria,1300.0,Kuala Lumpur - Taman Desa,2.0,1.0,2.0,1050,Partially Furnished,"Playground, Swimming Pool, Tennis Court, Squash Court, Minimart, Sauna, Club house, Parking, Security, Gymnasium, Barbeque area, Lift",Cooking Allowed,Kuala Lumpur
Banyan Tree,7800.0,Kuala Lumpur - KLCC,2.0,1.0,2.0,1076,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Club house, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Villa Wangsamas,2000.0,Kuala Lumpur - Wangsa Maju,3.0,1.0,3.0,1267,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Central Residence @ Sg Besi,1750.0,Kuala Lumpur - Sungai Besi,3.0,2.0,2.0,1121,Fully Furnished,"Playground, Barbeque area, Sauna, Multipurpose hall, Security, Swimming Pool, Gymnasium, Lift, Parking","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Unio Residence,2000.0,Kuala Lumpur - Kepong,2.0,1.0,2.0,872,Fully Furnished,"Minimart, Swimming Pool, Tennis Court, Jogging Track, Security, Playground, Parking, Gymnasium, Barbeque area, Lift, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur
1 Petaling,1100.0,Kuala Lumpur - Sungai Besi,3.0,1.0,2.0,904,Partially Furnished,"Jogging Track, Swimming Pool, Playground, Security, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Residensi Seri Wahyu @ Jalan Kuching KL,1300.0,Kuala Lumpur - KL City,3.0,1.0,2.0,835,Fully Furnished,"Jogging Track, Lift, Gymnasium, Squash Court, Minimart, Security, Swimming Pool, Parking, Playground, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Endah Villa,1400.0,Kuala Lumpur - Sri Petaling,3.0,1.0,2.0,1129,Fully Furnished,"Security, Squash Court, Parking, Swimming Pool, Tennis Court, Playground, Minimart, Barbeque area, Lift, Multipurpose hall, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Unio Residence,1900.0,Kuala Lumpur - Kepong,2.0,1.0,2.0,1132,Partially Furnished,"Minimart, Playground, Swimming Pool, Parking, Security, Gymnasium, Tennis Court, Lift, Barbeque area, Jogging Track, Multipurpose hall",Air-Cond,Kuala Lumpur
PV9 Residences @ Taman Melati,2100.0,Kuala Lumpur - Setapak,3.0,2.0,2.0,1000,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Minimart","Air-Cond, Near KTM/LRT, Cooking Allowed",Kuala Lumpur
Suasana Lumayan,1550.0,Kuala Lumpur - Cheras,4.0,1.0,2.0,1142,Partially Furnished,"Minimart, Sauna, Security, Gymnasium, Playground, Parking, Swimming Pool, Lift","Air-Cond, Cooking Allowed",Kuala Lumpur
Plaza Prima Setapak,1400.0,Kuala Lumpur - Setapak,4.0,2.0,2.0,1300,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Jogging Track","Cooking Allowed, Washing Machine",Kuala Lumpur
